lncRNA	miRNAs
RP11-526P6.1	hsa-miR-6090
RP11-244H3.1	hsa-miR-221-5p
SFTPD-AS1	hsa-miR-186-5p
RP11-526P6.1	hsa-miR-490-3p
RP11-573D15.2	hsa-miR-18a-3p
AC084219.4	hsa-miR-130a-5p
RP11-311F12.1	hsa-miR-1273f
RP11-469N6.1	hsa-miR-18a-3p
RP11-54O7.17	hsa-miR-342-5p
SRRM2-AS1	hsa-miR-423-5p
AC015849.13	hsa-miR-150-5p
TMEM191A	hsa-miR-149-3p
PRKCQ-AS1	hsa-miR-1238-3p
NUCB1-AS1	hsa-miR-9500
LINC00969	hsa-miR-1207-5p
LINC00969	hsa-miR-484
RP5-1039K5.19	hsa-miR-650
RP11-102K13.5	hsa-miR-425-3p
CTD-2553C6.1	hsa-miR-593-3p
AC005481.5	hsa-miR-5047
LINC01054	hsa-miR-1976
HCG22	hsa-miR-942-5p
LINC00588	hsa-miR-1207-3p
MZF1-AS1	hsa-miR-593-3p
RP11-32B5.8	hsa-miR-615-5p
AP001062.7	hsa-miR-18a-3p
RP11-14P20.1	hsa-miR-423-5p
AC015849.16	hsa-miR-338-3p
RP11-154H17.1	hsa-miR-143-5p
RP11-50B3.4	hsa-miR-16-1-3p
RP11-186N15.3	hsa-miR-149-3p
RP11-774O3.3	hsa-miR-500a-3p
LINC00664	hsa-miR-612
RP13-582L3.4	hsa-miR-665
RP11-142C4.6	hsa-miR-1972
LINC00662	hsa-miR-129-5p
LINC01002	hsa-miR-515-5p
RP11-186N15.3	hsa-miR-625-5p
RP11-218E20.3	hsa-miR-642a-5p
RP11-34P13.7	hsa-miR-182-5p
FAM182A	hsa-miR-4482-5p
LINC00689	hsa-miR-146a-3p
H19	hsa-miR-1207-5p
LINC01165	hsa-miR-185-3p
LINC01070	hsa-miR-1324
RP11-469N6.1	hsa-miR-197-3p
AC141928.1	hsa-miR-501-3p
RP5-1142A6.2	hsa-miR-1207-5p
RP11-394A14.2	hsa-miR-7-5p
RP11-1129I3.1	hsa-miR-1200
NNT-AS1	hsa-miR-28-5p
FAR1-IT1	hsa-miR-205-5p
LINC01224	hsa-miR-542-3p
RP11-384K6.6	hsa-miR-15a-3p
MIRLET7BHG	hsa-miR-612
C1orf229	hsa-miR-1470
RP11-186N15.3	hsa-miR-423-5p
TTTY12	hsa-miR-489-3p
RP11-278A23.4	hsa-miR-939-5p
CTA-392E5.1	hsa-miR-335-3p
CTB-51J22.1	hsa-miR-28-5p
AC005614.3	hsa-miR-590-3p
RP11-325F22.2	hsa-miR-127-5p
SNHG14	hsa-miR-338-3p
VPS9D1-AS1	hsa-miR-625-5p
LINC00664	hsa-miR-190a-5p
SPACA6P	hsa-miR-924
RP11-311F12.1	hsa-miR-628-5p
SNHG14	hsa-miR-181c-3p
SNHG14	hsa-miR-197-3p
RP1-182D15.2	hsa-miR-223-3p
RP11-243A14.1	hsa-miR-153-3p
LINC00906	hsa-miR-20a-3p
ZNF883	hsa-miR-539-5p
RP11-707A18.1	hsa-miR-3662
RP11-34P13.7	hsa-miR-103a-3p
CTD-2311B13.1	hsa-miR-766-3p
CTA-390C10.9	hsa-miR-145-5p
CTA-390C10.9	hsa-miR-198
LINC00200	hsa-miR-1227-3p
RP11-982M15.7	hsa-miR-1226-3p
CITF22-24E5.1	hsa-miR-558
CTC-435M10.10	hsa-miR-539-5p
RP11-44M6.7	hsa-miR-331-3p
RP11-161M6.2	hsa-miR-744-5p
CTD-2278I10.1	hsa-miR-5787
RP11-38M8.1	hsa-miR-150-5p
CAMTA1-IT1	hsa-miR-93-3p
RP11-503N18.1	hsa-miR-558
SPACA6P	hsa-miR-136-5p
RP11-324O2.3	hsa-miR-3662
RP11-264B17.5	hsa-miR-329-3p
RP11-504P24.8	hsa-miR-1972
CTC-338M12.9	hsa-miR-766-3p
CTD-2245F17.9	hsa-miR-18a-3p
LINC00639	hsa-miR-670-5p
CTD-3193O13.11	hsa-miR-1184
CTB-60B18.18	hsa-miR-1321
RP13-539J13.1	hsa-miR-5787
AC113607.3	hsa-miR-874-3p
RP5-1160K1.3	hsa-miR-548bb-3p
CTB-60B18.18	hsa-miR-1976
AC113607.3	hsa-miR-543
CTC-338M12.9	hsa-miR-1470
RP11-638I8.1	hsa-miR-15a-3p
RP11-69I8.2	hsa-miR-129-5p
RP11-849H4.4	hsa-miR-1972
AC010524.2	hsa-miR-502-5p
AC006019.3	hsa-miR-760
RP11-394A14.2	hsa-miR-455-3p
AC004156.3	hsa-miR-133a-3p
RP1-68D18.2	hsa-miR-197-3p
RP11-798K23.1	hsa-miR-1236-3p
RP4-760C5.5	hsa-miR-548bb-3p
LINC00689	hsa-miR-769-5p
RP11-211G23.2	hsa-miR-218-1-3p
RP11-231D20.2	hsa-miR-139-5p
FENDRR	hsa-miR-182-5p
RP11-474P2.6	hsa-miR-513a-3p
MUC19	hsa-miR-125a-5p
RP13-895J2.6	hsa-miR-147b
ZNF883	hsa-miR-499a-3p
LINC01043	hsa-miR-1228-3p
RP4-671O14.6	hsa-miR-147b
TTLL10-AS1	hsa-miR-30b-3p
TTLL10-AS1	hsa-miR-6090
RP11-223P11.3	hsa-miR-29a-3p
RP11-223P11.3	hsa-miR-767-5p
SNHG14	hsa-miR-665
RP11-374A4.1	hsa-miR-656-3p
LINC00240	hsa-miR-889-3p
RP11-378E13.3	hsa-miR-650
RP11-989E6.10	hsa-miR-10a-5p
AP001631.9	hsa-miR-766-3p
RP11-546K22.3	hsa-miR-579-3p
AC093159.1	hsa-miR-942-5p
RP11-256I23.1	hsa-miR-1226-5p
AC005324.6	hsa-miR-765
RP5-1171I10.5	hsa-miR-939-5p
MIR143HG	hsa-miR-326
RP11-54O7.17	hsa-miR-615-5p
CTD-3193O13.1	hsa-miR-149-3p
CTD-2245F17.9	hsa-miR-1224-5p
LINC00689	hsa-miR-1224-5p
LINC00689	hsa-miR-1200
CTD-2283N19.1	hsa-miR-650
HOXC-AS1	hsa-miR-361-3p
CTD-2135D7.2	hsa-miR-1976
RP13-580B18.4	hsa-miR-15a-3p
LINC01224	hsa-miR-758-3p
RP11-146D12.2	hsa-miR-335-3p
RP11-638I8.1	hsa-miR-558
CH17-360D5.1	hsa-miR-665
AC010524.2	hsa-miR-182-5p
AC093642.4	hsa-miR-1226-3p
RP11-335L23.4	hsa-miR-335-3p
TTN-AS1	hsa-miR-766-3p
RP11-96L7.2	hsa-miR-873-5p
CTD-2281E23.3	hsa-miR-181c-3p
LINC01002	hsa-miR-1228-3p
RP11-91K11.2	hsa-miR-1236-3p
LINC00662	hsa-miR-7-5p
RP11-524H19.2	hsa-miR-3662
LINC01067	hsa-miR-483-5p
LINC01070	hsa-miR-449c-5p
LINC01070	hsa-miR-885-3p
RP11-161M6.2	hsa-miR-2355-5p
RP11-350J20.5	hsa-miR-548bb-3p
RP11-94C24.13	hsa-miR-30b-3p
CTD-2619J13.19	hsa-miR-34a-3p
CTD-2008P7.3	hsa-miR-520g-3p
RP4-756G23.5	hsa-miR-28-5p
LINC00163	hsa-miR-378a-3p
CTA-390C10.9	hsa-miR-885-3p
RP11-394A14.2	hsa-miR-760
RP1-29C18.10	hsa-miR-1184
RP11-326C3.14	hsa-miR-921
RP11-23J9.4	hsa-miR-1236-3p
AC114783.1	hsa-miR-449c-5p
RP11-762H8.4	hsa-miR-590-3p
GS1-279B7.1	hsa-miR-34a-3p
CTB-171A8.1	hsa-miR-767-3p
CTD-2197I11.1	hsa-miR-515-5p
CTB-171A8.1	hsa-miR-370-3p
RP11-483P21.6	hsa-miR-15a-5p
MIR497HG	hsa-miR-342-5p
AC003973.4	hsa-miR-489-3p
RP1-288H2.2	hsa-miR-186-5p
MCF2L-AS1	hsa-miR-767-5p
C10orf91	hsa-miR-762
CTD-2281E23.1	hsa-miR-27a-3p
AC137934.1	hsa-miR-490-3p
AC137934.1	hsa-miR-370-3p
AC137934.1	hsa-miR-516a-3p
RP11-1217F2.15	hsa-miR-515-5p
CTD-2311B13.1	hsa-miR-1184
RP11-573D15.2	hsa-miR-28-5p
RP11-130C6.1	hsa-miR-21-3p
RP1-17K7.1	hsa-miR-616-3p
PVT1	hsa-miR-5092
AC079799.2	hsa-miR-888-5p
HCG22	hsa-miR-323a-5p
LINC01597	hsa-miR-548bb-3p
RP11-431K24.1	hsa-miR-188-3p
AC004156.3	hsa-miR-27a-5p
LINC01128	hsa-miR-1182
RP13-580B18.4	hsa-miR-342-3p
RP11-90K6.1	hsa-miR-942-5p
AP001626.2	hsa-miR-485-5p
RP11-989E6.10	hsa-miR-339-5p
MAFG-AS1	hsa-miR-149-3p
LA16c-306A4.2	hsa-miR-1228-5p
CTC-242N15.1	hsa-miR-214-3p
RP11-15I20.1	hsa-miR-3200-3p
RP3-430N8.10	hsa-miR-627-5p
AC113189.5	hsa-miR-668-3p
RP11-717I24.1	hsa-miR-145-5p
AC068489.1	hsa-miR-130a-5p
RP11-932O9.4	hsa-miR-432-5p
RP4-539M6.22	hsa-miR-130a-3p
AC005481.5	hsa-miR-1207-3p
RP13-895J2.3	hsa-miR-873-5p
LINC00896	hsa-miR-296-5p
LINC00689	hsa-miR-671-5p
CTD-2619J13.14	hsa-miR-541-3p
AC074212.5	hsa-miR-650
AP001469.9	hsa-miR-939-5p
LINC01015	hsa-miR-612
RP11-561O23.5	hsa-miR-181a-3p
CTA-243E7.4	hsa-miR-650
CTD-2015G9.2	hsa-miR-143-5p
RP11-1260E13.1	hsa-miR-340-3p
DARS-AS1	hsa-miR-135a-5p
PABPC1L2B-AS1	hsa-miR-762
RP11-699C17.1	hsa-miR-876-5p
RP11-158I9.8	hsa-miR-361-3p
RP11-60L3.1	hsa-miR-23a-5p
RP11-67K19.3	hsa-miR-129-5p
LINC00265	hsa-miR-449c-5p
RP5-1154L15.1	hsa-miR-383-5p
RP5-1154L15.1	hsa-miR-3200-3p
RP5-1154L15.1	hsa-miR-512-3p
RP5-1154L15.1	hsa-miR-454-5p
CTD-2126E3.3	hsa-miR-1976
ATP2A1-AS1	hsa-miR-765
LINC01002	hsa-miR-450b-3p
AC124997.1	hsa-miR-186-5p
CTD-2008P7.3	hsa-miR-149-5p
CTD-3138B18.5	hsa-miR-4482-5p
CTD-3138B18.5	hsa-miR-338-3p
LINC01168	hsa-miR-1207-5p
AP001626.2	hsa-miR-541-3p
REV3L-IT1	hsa-miR-129-5p
RP11-186N15.3	hsa-miR-939-5p
AJ011931.1	hsa-miR-612
AC137934.1	hsa-miR-593-3p
TCF4-AS2	hsa-miR-32-3p
RP11-74K19.1	hsa-miR-3662
MMP24-AS1	hsa-miR-374a-5p
ABCA9-AS1	hsa-miR-1273g-5p
RP11-678G14.2	hsa-miR-548bb-3p
RP11-407A16.4	hsa-miR-1237-3p
AC114808.3	hsa-miR-665
RP11-203B9.4	hsa-miR-1976
GNG12-AS1	hsa-miR-1-3p
RP11-689K5.3	hsa-miR-615-3p
RP11-203M5.7	hsa-miR-3200-5p
LINC01168	hsa-miR-449c-5p
AC006548.28	hsa-miR-590-3p
RP11-1191J2.2	hsa-miR-1972
AC015849.16	hsa-miR-145-5p
FAM95B1	hsa-miR-491-5p
RP11-244B22.11	hsa-miR-30b-3p
RP11-413M3.4	hsa-miR-612
LINCR-0001	hsa-miR-367-5p
CTB-50L17.7	hsa-miR-93-3p
AC011366.3	hsa-miR-642a-5p
LINC01122	hsa-miR-335-3p
RP11-338K13.1	hsa-miR-449c-5p
PLBD1-AS1	hsa-miR-1321
AC093639.1	hsa-miR-590-3p
AC000095.11	hsa-miR-1207-5p
RP11-673P17.2	hsa-miR-93-3p
RP11-290K4.1	hsa-miR-5093
RP11-655H13.2	hsa-miR-1226-5p
LINC00265	hsa-miR-485-5p
CTD-3099C6.5	hsa-miR-766-3p
CTD-3099C6.5	hsa-miR-515-5p
NR2F1-AS1	hsa-miR-214-3p
FAM74A6	hsa-miR-942-5p
RP11-148K1.12	hsa-miR-149-3p
RP11-394A14.4	hsa-miR-625-5p
GABPB1-AS1	hsa-miR-5095
EIF3J-AS1	hsa-miR-650
LINC01227	hsa-miR-548bb-3p
CTC-273B12.5	hsa-miR-518d-5p
SLC8A1-AS1	hsa-miR-335-5p
SLC8A1-AS1	hsa-miR-498
RP5-1125A11.7	hsa-miR-129-5p
AC092171.4	hsa-miR-550a-5p
CDR1-AS	hsa-miR-490-5p
RP1-29C18.9	hsa-miR-660-5p
AC139099.4	hsa-miR-1184
LINC00869	hsa-miR-340-5p
RP11-384K6.6	hsa-miR-214-5p
CTB-35F21.1	hsa-miR-127-5p
CTD-2562J17.2	hsa-miR-1229-3p
AC011284.3	hsa-miR-2909
AC011284.3	hsa-miR-9500
RP11-527L4.2	hsa-miR-193b-5p
GRM7-AS1	hsa-miR-338-3p
RP13-507P19.2	hsa-miR-4482-5p
AC006019.3	hsa-miR-342-5p
CTD-3193O13.11	hsa-miR-125a-5p
CTD-2410N18.4	hsa-miR-186-5p
CTC-321K16.1	hsa-miR-214-3p
SATB1-AS1	hsa-miR-539-5p
SNHG14	hsa-miR-515-5p
RP11-430G17.3	hsa-miR-149-3p
RP3-508I15.22	hsa-miR-129-5p
RP11-517O13.1	hsa-miR-126-5p
IDI2-AS1	hsa-miR-541-3p
AL163953.3	hsa-miR-520a-5p
UCKL1-AS1	hsa-miR-18a-3p
RP11-1348G14.8	hsa-miR-149-3p
RP11-96K19.4	hsa-miR-335-3p
LINC01529	hsa-miR-93-3p
AC010091.1	hsa-miR-889-3p
AC011284.3	hsa-miR-7515
AC074212.6	hsa-miR-5090
RP11-867G23.1	hsa-miR-4482-5p
RP1-253P7.1	hsa-miR-877-3p
SPACA6P	hsa-miR-1471
CCDC144NL-AS1	hsa-miR-767-3p
AJ003147.8	hsa-miR-186-5p
LINC00664	hsa-miR-130a-5p
LINC01539	hsa-miR-539-5p
KCNQ1OT1	hsa-miR-629-3p
C22orf34	hsa-miR-892a
LINC00661	hsa-miR-1972
AC084219.4	hsa-miR-515-5p
CTD-3099C6.5	hsa-miR-943
COL18A1-AS1	hsa-miR-1184
AC015849.16	hsa-miR-515-5p
DNM1P35	hsa-miR-1470
XX-C283C717.1	hsa-miR-370-3p
AC011284.3	hsa-miR-299-5p
RP11-244O19.1	hsa-miR-501-3p
C1QTNF9B-AS1	hsa-miR-296-5p
LINC01165	hsa-miR-24-3p
LA16c-306A4.2	hsa-miR-2355-5p
KCNQ1OT1	hsa-miR-548bb-3p
CTD-2523D13.1	hsa-miR-18a-3p
RP11-66N24.4	hsa-miR-449c-5p
RP5-1171I10.5	hsa-miR-762
RP3-470B24.5	hsa-miR-629-3p
CTD-2278I10.1	hsa-miR-509-3p
RP11-44M6.7	hsa-miR-361-3p
SEPSECS-AS1	hsa-miR-129-5p
LVCAT1	hsa-miR-7150
LVCAT1	hsa-miR-34a-5p
RP11-561O23.5	hsa-miR-361-3p
AP001476.4	hsa-miR-449c-5p
RP11-397O4.1	hsa-miR-9-5p
CTD-3046C4.1	hsa-miR-186-5p
RP11-982M15.8	hsa-miR-125a-3p
RP11-989E6.10	hsa-miR-504-5p
RP11-480I12.10	hsa-miR-6090
RP11-13K12.1	hsa-miR-124-5p
RP11-186N15.3	hsa-miR-1197
AP000345.1	hsa-miR-5787
RP3-395M20.8	hsa-miR-650
RP11-227H15.4	hsa-miR-186-5p
RP11-503E24.2	hsa-miR-889-3p
RP3-402G11.28	hsa-miR-1184
LINC00632	hsa-miR-3662
PAX8-AS1	hsa-miR-149-3p
RP11-304L19.3	hsa-miR-1976
LINC00689	hsa-miR-125a-3p
RP11-989E6.10	hsa-miR-670-5p
LLPH-AS1	hsa-miR-106a-3p
RP5-1077H22.2	hsa-miR-944
CTD-2008P7.1	hsa-miR-766-3p
TP73-AS1	hsa-miR-136-3p
RP11-157B13.7	hsa-miR-489-3p
RP5-821D11.7	hsa-miR-1471
PKD1P6	hsa-miR-374a-3p
LL22NC03-N64E9.1	hsa-miR-513a-3p
LINC01001	hsa-miR-1976
LINC00668	hsa-miR-329-3p
AC084219.4	hsa-miR-297
KB-1183D5.13	hsa-miR-1197
LINC01301	hsa-miR-5787
RP11-801F7.1	hsa-miR-3662
FLJ26245	hsa-miR-612
SSTR5-AS1	hsa-miR-185-5p
LRRC75A-AS1	hsa-miR-484
LINC01198	hsa-miR-339-5p
AC011284.3	hsa-miR-196a-5p
LPP-AS2	hsa-let-7a-3p
AC079586.1	hsa-miR-612
AC108142.1	hsa-miR-5090
OR2A1-AS1	hsa-miR-1224-3p
AC009518.4	hsa-miR-139-3p
RP4-545C24.1	hsa-miR-541-3p
RP11-598F7.3	hsa-miR-539-5p
RP11-159F24.6	hsa-miR-942-5p
CTD-2639E6.9	hsa-miR-146b-3p
AP006621.9	hsa-miR-541-3p
RP11-989E6.10	hsa-miR-938
AC012501.2	hsa-miR-1229-3p
MRGPRF-AS1	hsa-miR-1470
SHANK3	hsa-miR-612
RP11-526P6.1	hsa-miR-1321
AC092171.4	hsa-miR-612
TTLL10-AS1	hsa-miR-885-3p
CTD-2553C6.1	hsa-miR-642a-5p
RP4-758J18.10	hsa-miR-5090
RP11-848P1.3	hsa-miR-129-5p
LINC00662	hsa-miR-186-5p
RP11-394A14.2	hsa-miR-423-5p
CTD-2561J22.5	hsa-miR-590-3p
MUC19	hsa-miR-188-5p
CTB-60B18.10	hsa-miR-483-5p
RP4-751H13.7	hsa-miR-361-3p
FAM74A7	hsa-miR-515-5p
RP11-486O12.2	hsa-miR-129-5p
CTD-2521M24.5	hsa-miR-518a-5p
RP11-480I12.10	hsa-miR-30b-3p
CTB-181F24.1	hsa-miR-186-5p
RP11-538D16.2	hsa-miR-548bb-3p
RP4-737E23.2	hsa-miR-489-3p
RP11-305P22.9	hsa-miR-3663-5p
GATA3-AS1	hsa-miR-5090
RASSF8-AS1	hsa-miR-665
RP4-751H13.7	hsa-miR-1207-3p
RP11-627J17.1	hsa-miR-618
AP000343.2	hsa-miR-1227-3p
RP13-582L3.4	hsa-miR-199a-5p
RP11-384K6.6	hsa-miR-485-5p
RP4-591C20.9	hsa-miR-1226-3p
RP11-497E19.1	hsa-miR-410-3p
LL22NC03-86G7.1	hsa-miR-18a-3p
RP1-283E3.8	hsa-miR-129-5p
LINC00662	hsa-miR-708-3p
SNHG14	hsa-miR-185-3p
LINC01597	hsa-miR-6089
LINC00662	hsa-miR-28-3p
LINC01070	hsa-miR-520a-5p
RP11-630C16.2	hsa-miR-149-3p
RP5-1142A6.7	hsa-miR-139-3p
KB-1183D5.13	hsa-miR-425-5p
CH507-216K13.2	hsa-miR-4482-5p
SNHG14	hsa-miR-1202
RP11-157B13.7	hsa-miR-758-3p
ABHD11-AS1	hsa-miR-766-3p
RP11-486P11.1	hsa-miR-130b-5p
LINC01597	hsa-miR-494-3p
CTA-243E7.1	hsa-miR-7-5p
KRTAP5-AS1	hsa-miR-762
RP11-700J17.1	hsa-miR-556-3p
RP11-189E14.3	hsa-miR-129-5p
RP4-539M6.22	hsa-miR-486-3p
AC009299.3	hsa-miR-513a-3p
CTC-548K16.6	hsa-miR-518d-5p
AC138035.2	hsa-miR-485-5p
RP11-309L24.4	hsa-miR-5090
RP13-580B18.4	hsa-miR-214-5p
FAM230B	hsa-miR-654-3p
FAM230B	hsa-miR-511-5p
RP5-1171I10.5	hsa-miR-6089
LA16c-60D12.2	hsa-miR-590-3p
RP1-278C19.8	hsa-miR-491-5p
RP4-539M6.22	hsa-miR-449c-5p
RP4-539M6.22	hsa-miR-767-5p
RP4-539M6.22	hsa-miR-500a-3p
TP73-AS1	hsa-miR-147b
LINC01471	hsa-miR-6165
PABPC1L2B-AS1	hsa-miR-744-5p
PABPC1L2B-AS1	hsa-miR-5090
PABPC1L2B-AS1	hsa-miR-185-3p
CTD-2291D10.2	hsa-miR-125a-3p
RP11-420L9.5	hsa-miR-744-5p
AC005481.5	hsa-miR-22-3p
RP11-15H20.6	hsa-miR-758-3p
RP11-13K12.1	hsa-miR-7515
ZNF833P	hsa-miR-181a-5p
AC005264.2	hsa-miR-33a-5p
RP11-374A4.1	hsa-miR-340-5p
LINC00689	hsa-miR-5047
FAM95B1	hsa-miR-1972
HTR5A-AS1	hsa-miR-1226-3p
AC078942.1	hsa-miR-128-3p
AC078942.1	hsa-miR-484
AC078942.1	hsa-miR-27a-3p
AC078942.1	hsa-miR-24-3p
AC078942.1	hsa-miR-342-3p
RP11-458F8.4	hsa-miR-185-5p
LINC00599	hsa-miR-939-5p
TMEM246-AS1	hsa-miR-5047
EGFLAM-AS3	hsa-miR-539-5p
LA16c-313D11.12	hsa-miR-650
MIRLET7BHG	hsa-miR-1207-5p
RP11-13K12.1	hsa-miR-92b-5p
RP11-13K12.1	hsa-miR-1206
RP11-172E9.2	hsa-miR-146a-5p
AP000442.1	hsa-miR-377-5p
RP11-503E24.2	hsa-miR-374a-5p
AATBC	hsa-miR-15a-3p
CTD-2666L21.1	hsa-miR-491-5p
LINC00635	hsa-miR-452-3p
RP11-673P17.2	hsa-miR-767-3p
RP11-465N4.4	hsa-miR-520a-5p
VPS9D1-AS1	hsa-miR-378a-3p
CTC-548K16.6	hsa-miR-1237-3p
RP11-33B1.4	hsa-miR-1976
RP11-368I7.4	hsa-miR-186-3p
LINC01239	hsa-miR-942-5p
RP11-142J21.1	hsa-miR-5093
CTD-2369P2.8	hsa-miR-149-3p
RP11-570L14.2	hsa-miR-765
RP11-1030E3.1	hsa-miR-335-5p
CTD-2066L21.2	hsa-miR-20a-3p
LINC01304	hsa-miR-214-3p
CTC-457E21.1	hsa-miR-130b-5p
RP5-1171I10.5	hsa-miR-650
RP5-991B18.1	hsa-miR-139-3p
RP4-794I6.4	hsa-miR-129-5p
AC064853.2	hsa-miR-140-3p
SNHG14	hsa-miR-186-5p
RP11-638L3.1	hsa-miR-590-3p
LA16c-306A4.2	hsa-miR-922
RP11-830F9.6	hsa-miR-764
RP5-894D12.5	hsa-miR-574-5p
RP11-13K12.1	hsa-miR-876-3p
CITF22-1A6.3	hsa-miR-329-3p
MUC2	hsa-miR-876-3p
RP11-210M15.1	hsa-miR-329-3p
HP09025	hsa-miR-423-5p
CTC-265F19.1	hsa-miR-5739
RP11-467C18.1	hsa-miR-8485
CTB-186H2.3	hsa-miR-532-3p
LINC01002	hsa-miR-532-3p
RP4-737E23.2	hsa-miR-329-3p
GAS8-AS1	hsa-miR-324-3p
RP11-458F8.4	hsa-miR-940
RP3-470B24.5	hsa-miR-509-3-5p
RP3-470B24.5	hsa-miR-1205
LINC01002	hsa-miR-342-3p
HCG22	hsa-miR-17-3p
RP11-347H15.4	hsa-miR-766-3p
RP11-1260E13.4	hsa-miR-17-3p
RP11-54O7.17	hsa-miR-18a-3p
FAM230B	hsa-let-7f-2-3p
LL22NC03-2H8.4	hsa-miR-874-3p
RP11-526P6.1	hsa-miR-649
LINC00685	hsa-miR-532-3p
AC011284.3	hsa-miR-30c-1-3p
RP4-539M6.22	hsa-miR-519a-3p
RP4-539M6.22	hsa-miR-922
CTD-2619J13.14	hsa-miR-92a-2-5p
RP11-34P13.7	hsa-miR-15a-5p
RP11-989E6.3	hsa-miR-942-5p
RP11-989E6.10	hsa-miR-146b-3p
AP001476.4	hsa-miR-940
RP11-248M19.1	hsa-miR-1976
RP11-804H8.7	hsa-miR-214-5p
LINC00265	hsa-miR-940
LL22NC03-2H8.5	hsa-miR-143-3p
PAX8-AS1	hsa-miR-654-5p
RP11-989E6.10	hsa-miR-874-3p
